gene,basX,basY,Er2X,Er2Y,LymX,LymY,My2X,My2Y,StemX,StemY
KIF14,0.39,1.23,0.56,1.36,0.25,0.86,0.34,0.84,0.09,0.50
AHSP,0.02,0.14,7.20,20.33,0.00,0.07,0.13,1.65,0.01,0.10
HIST1H3C,0.46,0.94,0.63,1.18,0.58,1.47,0.19,0.61,0.07,0.34
HSPA1A,0.97,1.16,1.16,1.76,0.10,0.40,0.94,1.68,1.33,1.43
HRK,0.01,0.08,-0.00,0.00,0.47,1.16,0.02,0.21,0.01,0.08
PRTN3,0.06,0.27,0.09,0.32,0.04,0.19,39.46,65.89,0.05,0.22
HIST1H3B,1.84,3.37,2.19,3.47,3.13,7.00,0.99,2.18,0.28,1.16
AL355922.1,0.17,0.44,-0.00,0.00,0.01,0.10,1.17,1.75,0.01,0.08
KIF15,1.03,2.29,1.07,2.06,0.55,1.55,0.77,1.57,0.20,0.88
PTGS1,0.25,0.55,1.29,1.26,0.01,0.13,0.06,0.26,0.35,0.64
SNHG19,1.91,1.76,1.73,1.61,0.38,0.89,2.14,1.86,1.08,1.28
RUNX2,0.77,1.01,0.14,0.42,0.17,1.05,1.08,1.54,0.33,0.63
NRGN,0.61,0.95,0.12,0.37,0.06,0.27,0.79,1.30,0.40,0.84
F13A1,0.04,0.19,0.01,0.07,0.09,0.36,1.40,1.88,0.00,0.07
AJ009632.2,0.13,0.44,0.02,0.12,0.02,0.17,0.07,0.29,0.85,1.01
CNRIP1,0.28,0.71,2.13,1.81,0.01,0.12,0.04,0.48,0.00,0.06
NCAPG,0.83,1.90,1.11,1.97,0.55,1.33,0.84,1.71,0.15,0.66
MATK,2.30,2.19,2.43,2.29,0.16,0.62,3.22,2.47,1.33,1.35
TIMP3,0.45,0.94,0.36,0.67,0.01,0.08,0.03,0.21,0.19,0.58
CD36,0.06,0.47,2.51,2.95,0.01,0.10,0.35,1.80,0.17,2.86
CXCL12,-0.00,0.00,0.05,0.43,0.01,0.10,0.00,0.09,0.00,0.03
FAM111B,0.48,1.33,0.36,0.88,1.07,2.45,0.44,1.29,0.14,0.65
LINC02227,0.01,0.08,-0.00,0.00,0.32,0.67,0.01,0.14,-0.00,0.00
NPW,2.99,3.51,3.48,4.09,0.07,0.54,5.74,4.73,0.63,1.25
SPTBN2,0.39,0.76,1.02,1.22,0.00,0.07,0.03,0.16,0.01,0.09
PLD4,0.80,2.96,0.06,0.28,0.18,0.82,2.67,3.89,0.43,0.68
MED12L,1.25,1.17,0.91,1.19,0.13,0.45,0.53,0.88,0.79,0.99
CSF1R,0.01,0.11,0.01,0.09,0.00,0.06,0.82,1.56,0.00,0.08
HDC,3.46,7.69,0.14,0.89,0.00,0.05,0.01,0.08,0.00,0.05
NEK2,0.33,0.77,0.40,0.97,0.19,0.59,0.32,0.93,0.07,0.52
VWF,0.12,0.36,0.03,0.16,0.00,0.07,0.04,0.26,0.12,0.45
FCAR,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.07,0.38,-0.00,0.00
CLC,48.92,127.10,0.06,0.37,0.01,0.08,0.05,0.23,0.02,0.13
CITED4,0.46,0.79,0.16,0.51,0.17,0.48,2.44,2.11,0.08,0.33
RND3,-0.00,0.00,0.03,0.50,0.01,0.25,0.09,1.41,0.03,0.60
MGST1,5.20,4.37,2.03,2.36,0.14,0.98,9.71,6.70,1.67,1.77
S100A12,-0.00,0.00,-0.00,0.00,-0.00,0.00,0.75,5.28,0.02,0.45
LAPTM4B,2.47,2.43,2.63,2.18,0.19,0.71,2.15,2.07,3.64,2.21
LEF1,0.04,0.19,0.22,0.70,0.96,1.42,0.02,0.12,0.01,0.11
TROAP,0.54,1.12,0.68,1.48,0.33,1.06,0.50,1.08,0.16,0.84
SLC38A2,3.41,2.61,4.32,3.33,1.68,1.80,4.04,2.77,1.80,1.85
MAP3K8,2.28,3.06,0.46,1.53,0.34,1.08,3.96,4.04,1.76,2.73
CSF1,0.84,2.27,1.81,2.20,0.00,0.11,0.06,0.35,0.03,0.22
SERPINB10,0.08,0.33,-0.00,0.00,-0.00,0.00,0.70,1.21,-0.00,0.00
CNOT2,2.32,1.62,2.74,2.04,0.95,1.17,2.49,1.87,1.35,1.29
